target,position,sentence,hypernym,definition,label
stretch,2,by no stretch of the imagination,extension,extension to or beyond the ordinary limit,T
top,4,put your books on top of the desk,side;face,the highest or uppermost side of anything,T
field,3,he planted a field of wheat,tract;piece_of_land;piece_of_ground;parcel_of_land;parcel,a piece of land cleared of trees and usually enclosed,T
court,7,the noblemen visited the queen in her court ,residence,the residence of a sovereign or nobleman,T
force,2,may the force be with you,causal_agent;cause;causal_agency,one possessing or exercising power or influence or authority,T
call,12,he heard the phone ringing but did not want to take the call,telephone;telephony,a telephone connection,T
liking,5,i have always had a liking for reading,feeling,a feeling of pleasure and enjoyment,T
ease,6,he passed all the exams with ease ,quality,freedom from difficulty or hardship or effort,T
past,13,a book about a time machine that can transport people back into the past,time,the time that has elapsed,T
stretch,10,to say crossing the street was brave was quite a stretch ,motion;movement;move;motility,the act of physically reaching or thrusting out,T
boy,3,she made the boy brush his teeth every night,male;male_person,a youthful male person,T
head,9,i could not get his words out of my head,cognition;knowledge;noesis,that which is responsible for one is thoughts and feelings;the seat of the faculty of reason,T
stone,2,a peach stone,pericarp;seed_vessel,the hard inner usually woody layer of the pericarp of some fruits as peaches or plums or cherries or olives that contains the seed,T
speck,5,the plane was just a speck in the sky,spot;speckle;dapple;patch;fleck;maculation,a very small spot,T
time,1,the time is o clock,reading;meter_reading;indication,a reading of a point in time as given by a clock,T
youth,6,i made many mistakes in my youth but learned from them all ,time_of_life,the time of life between childhood and maturity,T
ear,2,a good ear for pitch,hearing;audition;auditory_sense;sense_of_hearing;auditory_modality,good hearing,T
tea,11,would you be a dear and get me a cup of tea please ,herb,dried leaves of the tea shrub;used to make tea,T
number,1,the number of parameters is small,amount,the property possessed by a sum or total or indefinite quantity of units or individuals,T
difference,8,it just wo not make much of a difference to anyone ,change,a significant change,T
baby,6,the annual report has been my baby since september ,undertaking;project;task;labor,a project of personal concern to someone,T
move,1,the move into my fianc is house took two long days ,change,the act of changing your residence or place of business,T
war,1,the war against crime,campaign;cause;crusade;drive;movement;effort,a concerted campaign to end something that is injurious,T
ghetto,4,no escape from the ghetto of the typing pool,life,any segregated mode of living or working that results from bias or stereotyping,T
cold,1,the cold helped clear his head,temperature,the sensation produced by low temperatures,T
spot,2,a bald spot,marking,a small contrasting part of something,T
length,1,a length of tubing,section;segment,a section of something that is long and narrow,T
fair,1,book fair,gathering;assemblage,gathering of producers to promote business,T
stage,5,the band returned to the stage to play an encore ,platform,a large platform on which people can stand and can be seen by an audience,T
business,4,show me where the business was today,business_activity;commercial_activity,the volume of commercial activity,T
reason,7,if you do not give me a reason to go with you i wo not ,rational_motive,a rational motive for a belief or action,T
patch,6,i lost my locket in this patch of grass here ,time,a period of indeterminate length usually short marked by some action or condition,T
nomination,1,his nomination was hotly protested,condition;status,the condition of having been proposed as a suitable candidate for appointment or election,T
twinkle,9,he was a rotund jolly man with a twinkle in his eye ,expression;look;aspect;facial_expression;face,merriment expressed by a brightness or gleam or animation of countenance,T
sake,2,for your sake,benefit;welfare,a reason for wanting something done,T
cold,0,cold is a vasoconstrictor,temperature,the absence of heat,T
